RecordKey,CustomerName,LicenseCode,LicenseCategory,AsOfDate,PurchasedUnits,UtilizedUnits,UtilizationPercent
Credit One Financial|8586-2689-0274-1831|User Licenses|2026-06-30,Credit One Financial,8586-2689-0274-1831,User Licenses,2026-06-30,1,0,0
Credit One Financial|4710-7336-5180-4744|AI Units|2026-05-04,Credit One Financial,4710-7336-5180-4744,AI Units,2026-05-04,60000,28.6,0.05
Credit Union ONE|8485-8955-3216-6381|Unattended Production License|2026-07-31,Credit Union ONE,8485-8955-3216-6381,Unattended Production License,2026-07-31,10,7,70
Credit Union ONE|8485-8955-3216-6381|Unattended Test Robot License|2026-07-31,Credit Union ONE,8485-8955-3216-6381,Unattended Test Robot License,2026-07-31,5,3,60
Credit Union ONE|8485-8955-3216-6381|User Licenses|2026-07-31,Credit Union ONE,8485-8955-3216-6381,User Licenses,2026-07-31,137,12,8.76
Credit Union ONE|8485-8955-3216-6381|AI Units|2026-08-08,Credit Union ONE,8485-8955-3216-6381,AI Units,2026-08-08,120000,68,0.06
Credit Union West|1462-0168-3083-3559|Unattended Production License|2026-07-31,Credit Union West,1462-0168-3083-3559,Unattended Production License,2026-07-31,2,2,100
Credit Union West|1462-0168-3083-3559|User Licenses|2026-07-31,Credit Union West,1462-0168-3083-3559,User Licenses,2026-07-31,8,3,37.5
Davidson Companies|4652-4955-5367-3276|Unattended Production License|2026-07-31,Davidson Companies,4652-4955-5367-3276,Unattended Production License,2026-07-31,4,0,0
Davidson Companies|2151-3248-6730-4955|Unattended Production License|2026-07-31,Davidson Companies,2151-3248-6730-4955,Unattended Production License,2026-07-31,21,20,95.24
Davidson Companies|1645-4038-6692-0752|Unattended Production License|2026-01-31,Davidson Companies,1645-4038-6692-0752,Unattended Production License,2026-01-31,1,0,0
Davidson Companies|2151-3248-6730-4955|Unattended Test Robot License|2026-07-31,Davidson Companies,2151-3248-6730-4955,Unattended Test Robot License,2026-07-31,2,2,100
Davidson Companies|4652-4955-5367-3276|User Licenses|2026-07-31,Davidson Companies,4652-4955-5367-3276,User Licenses,2026-07-31,4,0,0
Davidson Companies|2151-3248-6730-4955|User Licenses|2026-07-31,Davidson Companies,2151-3248-6730-4955,User Licenses,2026-07-31,271,21,7.75
Davidson Companies|1645-4038-6692-0752|User Licenses|2026-01-31,Davidson Companies,1645-4038-6692-0752,User Licenses,2026-01-31,6,0,0
Davidson Companies|2151-3248-6730-4955|Platform Units|2026-06-18,Davidson Companies,2151-3248-6730-4955,Platform Units,2026-06-18,15000,3,0.02
Dickinson Financial Corporation|8039-9264-7944-1122|Unattended Production License|2024-01-31,Dickinson Financial Corporation,8039-9264-7944-1122,Unattended Production License,2024-01-31,3,0,0
Dickinson Financial Corporation|5026-4576-7633-3970|Unattended Production License|2026-07-31,Dickinson Financial Corporation,5026-4576-7633-3970,Unattended Production License,2026-07-31,13,12,92.31
Dickinson Financial Corporation|5026-4576-7633-3970|Unattended Test Robot License|2026-07-31,Dickinson Financial Corporation,5026-4576-7633-3970,Unattended Test Robot License,2026-07-31,4,4,100
Dickinson Financial Corporation|5026-4576-7633-3970|User Licenses|2026-07-31,Dickinson Financial Corporation,5026-4576-7633-3970,User Licenses,2026-07-31,40,18,45
Dickinson Financial Corporation|5026-4576-7633-3970|AI Units|2026-08-07,Dickinson Financial Corporation,5026-4576-7633-3970,AI Units,2026-08-07,180000,85062.6,47.26
Earlham Savings Bank|3084-1124-4725-9890|Unattended Production License|2026-07-31,Earlham Savings Bank,3084-1124-4725-9890,Unattended Production License,2026-07-31,2,2,100
Earlham Savings Bank|3084-1124-4725-9890|Unattended Test Robot License|2026-07-31,Earlham Savings Bank,3084-1124-4725-9890,Unattended Test Robot License,2026-07-31,1,1,100
Earlham Savings Bank|3084-1124-4725-9890|User Licenses|2026-07-31,Earlham Savings Bank,3084-1124-4725-9890,User Licenses,2026-07-31,29,5,17.24
"Early Warning Services, LLC|9532-9899-0947-5576|Unattended Production License|2026-03-31","Early Warning Services, LLC",9532-9899-0947-5576,Unattended Production License,2026-03-31,17,0,0
"Early Warning Services, LLC|3631-2778-9504-3471|Unattended Production License|2025-01-31","Early Warning Services, LLC",3631-2778-9504-3471,Unattended Production License,2025-01-31,1,1,100
"Early Warning Services, LLC|4186-8199-2720-2086|Unattended Production License|2026-07-31","Early Warning Services, LLC",4186-8199-2720-2086,Unattended Production License,2026-07-31,17,17,100
"Early Warning Services, LLC|4186-8199-2720-2086|NonProduction Robot License|2026-07-31","Early Warning Services, LLC",4186-8199-2720-2086,NonProduction Robot License,2026-07-31,0,6,
"Early Warning Services, LLC|9532-9899-0947-5576|NonProduction Robot License|2026-03-31","Early Warning Services, LLC",9532-9899-0947-5576,NonProduction Robot License,2026-03-31,6,0,0
"Early Warning Services, LLC|9532-9899-0947-5576|Unattended Test Robot License|2026-03-31","Early Warning Services, LLC",9532-9899-0947-5576,Unattended Test Robot License,2026-03-31,5,0,0
"Early Warning Services, LLC|4186-8199-2720-2086|Unattended Test Robot License|2026-07-31","Early Warning Services, LLC",4186-8199-2720-2086,Unattended Test Robot License,2026-07-31,11,5,45.45
"Early Warning Services, LLC|3631-2778-9504-3471|Unattended Test Robot License|2025-01-31","Early Warning Services, LLC",3631-2778-9504-3471,Unattended Test Robot License,2025-01-31,1,1,100
"Early Warning Services, LLC|3631-2778-9504-3471|User Licenses|2025-02-28","Early Warning Services, LLC",3631-2778-9504-3471,User Licenses,2025-02-28,11,0,0
"Early Warning Services, LLC|4186-8199-2720-2086|User Licenses|2026-02-28","Early Warning Services, LLC",4186-8199-2720-2086,User Licenses,2026-02-28,70,1,1.43
"Early Warning Services, LLC|4186-8199-2720-2086|AI Units|2026-07-31","Early Warning Services, LLC",4186-8199-2720-2086,AI Units,2026-07-31,60000,0,0
"Early Warning Services, LLC|3631-2778-9504-3471|AI Units|2025-02-28","Early Warning Services, LLC",3631-2778-9504-3471,AI Units,2025-02-28,1,0,0
"Eldridge Industries, LLC|0727-0418-2070-7379|Unattended Production License|2026-06-30","Eldridge Industries, LLC",0727-0418-2070-7379,Unattended Production License,2026-06-30,1,0,0
"Eldridge Industries, LLC|6396-2611-3749-7358|Unattended Production License|2026-07-31","Eldridge Industries, LLC",6396-2611-3749-7358,Unattended Production License,2026-07-31,6,12,200
"Eldridge Industries, LLC|6396-2611-3749-7358|NonProduction Robot License|2026-07-31","Eldridge Industries, LLC",6396-2611-3749-7358,NonProduction Robot License,2026-07-31,0,10,
"Eldridge Industries, LLC|6396-2611-3749-7358|Unattended Test Robot License|2026-07-31","Eldridge Industries, LLC",6396-2611-3749-7358,Unattended Test Robot License,2026-07-31,4,9,225
"Eldridge Industries, LLC|0727-0418-2070-7379|Unattended Test Robot License|2026-06-30","Eldridge Industries, LLC",0727-0418-2070-7379,Unattended Test Robot License,2026-06-30,2,0,0
"Eldridge Industries, LLC|6396-2611-3749-7358|User Licenses|2026-07-31","Eldridge Industries, LLC",6396-2611-3749-7358,User Licenses,2026-07-31,42,9,21.43
Encova|386786055572765656|Unattended Production License|2023-05-31,Encova,386786055572765656,Unattended Production License,2023-05-31,4,0,0
Encova|386786055572765656|NonProduction Robot License|2023-05-31,Encova,386786055572765656,NonProduction Robot License,2023-05-31,2,0,0
Encova|4446-4981-3044-2181|User Licenses|2026-07-31,Encova,4446-4981-3044-2181,User Licenses,2026-07-31,117,2,1.71
Encova|386786055572765656|User Licenses|2023-05-31,Encova,386786055572765656,User Licenses,2023-05-31,7,0,0
Encova|4446-4981-3044-2181|AI Units|2026-08-07,Encova,4446-4981-3044-2181,AI Units,2026-08-07,360000,3426,0.95
Ent Credit Union|7880-9486-2196-7633|Unattended Production License|2026-07-31,Ent Credit Union,7880-9486-2196-7633,Unattended Production License,2026-07-31,6,6,100
Ent Credit Union|7880-9486-2196-7633|Unattended Test Robot License|2026-07-31,Ent Credit Union,7880-9486-2196-7633,Unattended Test Robot License,2026-07-31,4,4,100
Ent Credit Union|7880-9486-2196-7633|User Licenses|2026-07-31,Ent Credit Union,7880-9486-2196-7633,User Licenses,2026-07-31,63,19,30.16
Ent Credit Union|2444-8561-7462-6143|User Licenses|2023-04-30,Ent Credit Union,2444-8561-7462-6143,User Licenses,2023-04-30,10,0,0
Ent Credit Union|7880-9486-2196-7633|AI Units|2026-05-21,Ent Credit Union,7880-9486-2196-7633,AI Units,2026-05-21,60000,93,0.16
Equifax Inc.|3550-5341-7359-8764|Unattended Production License|2026-07-31,Equifax Inc.,3550-5341-7359-8764,Unattended Production License,2026-07-31,236,236,100
Equifax Inc.|6567-5821-3379-6666|Unattended Production License|2026-07-31,Equifax Inc.,6567-5821-3379-6666,Unattended Production License,2026-07-31,254,0,0
Equifax Inc.|386708087697893395|Unattended Test Robot License|2026-07-31,Equifax Inc.,386708087697893395,Unattended Test Robot License,2026-07-31,43,0,0
Equifax Inc.|3550-5341-7359-8764|Unattended Test Robot License|2026-07-31,Equifax Inc.,3550-5341-7359-8764,Unattended Test Robot License,2026-07-31,52,52,100
Equifax Inc.|7048-0650-8813-1361|Unattended Test Robot License|2026-07-31,Equifax Inc.,7048-0650-8813-1361,Unattended Test Robot License,2026-07-31,9,0,0
Equifax Inc.|6567-5821-3379-6666|User Licenses|2026-07-31,Equifax Inc.,6567-5821-3379-6666,User Licenses,2026-07-31,184,0,0
Equifax Inc.|7048-0650-8813-1361|User Licenses|2026-07-31,Equifax Inc.,7048-0650-8813-1361,User Licenses,2026-07-31,64,0,0
Equifax Inc.|2549-7033-4847-1848|User Licenses|2025-03-31,Equifax Inc.,2549-7033-4847-1848,User Licenses,2025-03-31,10,0,0
Equifax Inc.|386708087697893395|User Licenses|2026-07-31,Equifax Inc.,386708087697893395,User Licenses,2026-07-31,16,0,0
Equifax Inc.|7007-5777-4214-2627|User Licenses|2026-07-31,Equifax Inc.,7007-5777-4214-2627,User Licenses,2026-07-31,24,0,0
Equifax Inc.|3550-5341-7359-8764|User Licenses|2026-07-31,Equifax Inc.,3550-5341-7359-8764,User Licenses,2026-07-31,10848,350,3.23
Equifax Inc.|3550-5341-7359-8764|AI Units|2026-08-08,Equifax Inc.,3550-5341-7359-8764,AI Units,2026-08-08,8734143,3756602.55,43.01
Evergreen Home Loans Company|8293-8214-7479-0142|Unattended Production License|2026-07-31,Evergreen Home Loans Company,8293-8214-7479-0142,Unattended Production License,2026-07-31,5,5,100
Evergreen Home Loans Company|4646-5944-1365-6709|User Licenses|2026-07-31,Evergreen Home Loans Company,4646-5944-1365-6709,User Licenses,2026-07-31,2,0,0
Evergreen Home Loans Company|8293-8214-7479-0142|User Licenses|2026-07-31,Evergreen Home Loans Company,8293-8214-7479-0142,User Licenses,2026-07-31,127,10,7.87
Everwise Credit Union|4523-1931-7826-2840|Unattended Production License|2026-07-31,Everwise Credit Union,4523-1931-7826-2840,Unattended Production License,2026-07-31,5,5,100
Everwise Credit Union|386767887778875624|Unattended Production License|2023-09-30,Everwise Credit Union,386767887778875624,Unattended Production License,2023-09-30,5,0,0
Everwise Credit Union|386767887778875624|User Licenses|2023-09-30,Everwise Credit Union,386767887778875624,User Licenses,2023-09-30,13,0,0
Everwise Credit Union|4523-1931-7826-2840|User Licenses|2026-07-31,Everwise Credit Union,4523-1931-7826-2840,User Licenses,2026-07-31,21,10,47.62
Everwise Credit Union|4523-1931-7826-2840|AI Units|2026-08-05,Everwise Credit Union,4523-1931-7826-2840,AI Units,2026-08-05,60000,473.5,0.79
Farmer Mac|2512-7809-2583-9672|Unattended Production License|2026-07-31,Farmer Mac,2512-7809-2583-9672,Unattended Production License,2026-07-31,2,2,100
Farmer Mac|2512-7809-2583-9672|Unattended Test Robot License|2026-07-31,Farmer Mac,2512-7809-2583-9672,Unattended Test Robot License,2026-07-31,2,2,100
Farmer Mac|2512-7809-2583-9672|User Licenses|2026-07-31,Farmer Mac,2512-7809-2583-9672,User Licenses,2026-07-31,19,2,10.53
Federal Home Loan Bank of Chicago|0276-1269-7758-9895|Unattended Production License|2025-12-31,Federal Home Loan Bank of Chicago,0276-1269-7758-9895,Unattended Production License,2025-12-31,4,0,0
Federal Home Loan Bank of Chicago|8384-7935-1325-0190|Unattended Production License|2026-07-31,Federal Home Loan Bank of Chicago,8384-7935-1325-0190,Unattended Production License,2026-07-31,4,0,0
Federal Home Loan Bank of Chicago|3845-4680-3390-8351|Unattended Test Robot License|2025-12-31,Federal Home Loan Bank of Chicago,3845-4680-3390-8351,Unattended Test Robot License,2025-12-31,4,0,0
Federal Home Loan Bank of Chicago|8384-7935-1325-0190|Unattended Test Robot License|2026-07-31,Federal Home Loan Bank of Chicago,8384-7935-1325-0190,Unattended Test Robot License,2026-07-31,2,0,0
Federal Home Loan Bank of Chicago|8384-7935-1325-0190|User Licenses|2026-07-31,Federal Home Loan Bank of Chicago,8384-7935-1325-0190,User Licenses,2026-07-31,164,14,8.54
Fifth Third Bancorp|5543-4021-9187-9896|Unattended Production License|2026-07-31,Fifth Third Bancorp,5543-4021-9187-9896,Unattended Production License,2026-07-31,115,115,100
Fifth Third Bancorp|5767-0383-9132-4340|Unattended Production License|2026-07-31,Fifth Third Bancorp,5767-0383-9132-4340,Unattended Production License,2026-07-31,115,0,0
Fifth Third Bancorp|0875-7268-9367-2483|Unattended Production License|2026-07-31,Fifth Third Bancorp,0875-7268-9367-2483,Unattended Production License,2026-07-31,19,60,315.79
Fifth Third Bancorp|4562-5595-4291-1167|NonProduction Robot License|2026-03-31,Fifth Third Bancorp,4562-5595-4291-1167,NonProduction Robot License,2026-03-31,0,1,
Fifth Third Bancorp|8928-4630-7181-2999|NonProduction Robot License|2026-07-31,Fifth Third Bancorp,8928-4630-7181-2999,NonProduction Robot License,2026-07-31,13,0,0
Fifth Third Bancorp|8671-8915-2801-6045|Unattended Test Robot License|2026-07-31,Fifth Third Bancorp,8671-8915-2801-6045,Unattended Test Robot License,2026-07-31,13,0,0
Fifth Third Bancorp|3925-1186-7914-4399|Unattended Test Robot License|2026-07-31,Fifth Third Bancorp,3925-1186-7914-4399,Unattended Test Robot License,2026-07-31,18,17,94.44
Fifth Third Bancorp|8928-4630-7181-2999|Unattended Test Robot License|2026-07-31,Fifth Third Bancorp,8928-4630-7181-2999,Unattended Test Robot License,2026-07-31,5,0,0
Fifth Third Bancorp|3925-1186-7914-4399|User Licenses|2026-07-31,Fifth Third Bancorp,3925-1186-7914-4399,User Licenses,2026-07-31,114,18,15.79
Fifth Third Bancorp|5543-4021-9187-9896|User Licenses|2026-07-31,Fifth Third Bancorp,5543-4021-9187-9896,User Licenses,2026-07-31,76,28,36.84
Fifth Third Bancorp|8928-4630-7181-2999|User Licenses|2026-07-31,Fifth Third Bancorp,8928-4630-7181-2999,User Licenses,2026-07-31,22,0,0
Fifth Third Bancorp|4562-5595-4291-1167|User Licenses|2026-04-30,Fifth Third Bancorp,4562-5595-4291-1167,User Licenses,2026-04-30,10,0,0
Fifth Third Bancorp|0875-7268-9367-2483|User Licenses|2026-07-31,Fifth Third Bancorp,0875-7268-9367-2483,User Licenses,2026-07-31,23,5,21.74
Fifth Third Bancorp|5767-0383-9132-4340|User Licenses|2026-07-31,Fifth Third Bancorp,5767-0383-9132-4340,User Licenses,2026-07-31,50,0,0
Fifth Third Bancorp|5543-4021-9187-9896|AI Units|2026-08-06,Fifth Third Bancorp,5543-4021-9187-9896,AI Units,2026-08-06,275000,86.2,0.03
Fifth Third Bancorp|3925-1186-7914-4399|AI Units|2026-07-09,Fifth Third Bancorp,3925-1186-7914-4399,AI Units,2026-07-09,10000,148.4,1.48
First Bancorp|1925-7348-0683-9283|Unattended Production License|2026-07-31,First Bancorp,1925-7348-0683-9283,Unattended Production License,2026-07-31,2,2,100
First Bancorp|1925-7348-0683-9283|Unattended Test Robot License|2026-07-31,First Bancorp,1925-7348-0683-9283,Unattended Test Robot License,2026-07-31,1,1,100
First Bancorp|2473-1712-1581-7417|User Licenses|2026-03-31,First Bancorp,2473-1712-1581-7417,User Licenses,2026-03-31,1,0,0
First Bancorp|1925-7348-0683-9283|User Licenses|2026-07-31,First Bancorp,1925-7348-0683-9283,User Licenses,2026-07-31,152,18,11.84
First Bancorp|1925-7348-0683-9283|AI Units|2026-08-04,First Bancorp,1925-7348-0683-9283,AI Units,2026-08-04,705754,426.2,0.06
First Financial Bank|4505-5020-0076-9026|Unattended Production License|2025-10-31,First Financial Bank,4505-5020-0076-9026,Unattended Production License,2025-10-31,8,0,0
First Financial Bank|1738-8057-4536-5057|Unattended Production License|2026-07-31,First Financial Bank,1738-8057-4536-5057,Unattended Production License,2026-07-31,8,8,100
First Financial Bank|6731-8215-5750-8199|Unattended Test Robot License|2025-10-31,First Financial Bank,6731-8215-5750-8199,Unattended Test Robot License,2025-10-31,7,0,0
First Financial Bank|1738-8057-4536-5057|Unattended Test Robot License|2026-07-31,First Financial Bank,1738-8057-4536-5057,Unattended Test Robot License,2026-07-31,8,8,100
First Financial Bank|4505-5020-0076-9026|User Licenses|2025-10-31,First Financial Bank,4505-5020-0076-9026,User Licenses,2025-10-31,9,0,0
First Financial Bank|6731-8215-5750-8199|User Licenses|2025-10-31,First Financial Bank,6731-8215-5750-8199,User Licenses,2025-10-31,6,0,0
First Financial Bank|1738-8057-4536-5057|User Licenses|2026-07-31,First Financial Bank,1738-8057-4536-5057,User Licenses,2026-07-31,61,22,36.07
First Financial Bank|1738-8057-4536-5057|AI Units|2026-08-09,First Financial Bank,1738-8057-4536-5057,AI Units,2026-08-09,180000,18590.8,10.33
First Interstate Bank|8795-7050-6165-5217|Unattended Production License|2026-07-31,First Interstate Bank,8795-7050-6165-5217,Unattended Production License,2026-07-31,0,1,
First Interstate Bank|1480-0222-1988-1095|Unattended Production License|2026-07-31,First Interstate Bank,1480-0222-1988-1095,Unattended Production License,2026-07-31,4,0,0
First Interstate Bank|3419-2846-4196-1189|Unattended Test Robot License|2026-07-31,First Interstate Bank,3419-2846-4196-1189,Unattended Test Robot License,2026-07-31,1,0,0
First Interstate Bank|1480-0222-1988-1095|Unattended Test Robot License|2026-07-31,First Interstate Bank,1480-0222-1988-1095,Unattended Test Robot License,2026-07-31,1,0,0
First Interstate Bank|8795-7050-6165-5217|User Licenses|2026-07-31,First Interstate Bank,8795-7050-6165-5217,User Licenses,2026-07-31,11,5,45.45
First Interstate Bank|3419-2846-4196-1189|User Licenses|2026-07-31,First Interstate Bank,3419-2846-4196-1189,User Licenses,2026-07-31,3,0,0
First Interstate Bank|1480-0222-1988-1095|User Licenses|2026-07-31,First Interstate Bank,1480-0222-1988-1095,User Licenses,2026-07-31,6,0,0
First Technology Federal Credit Union|8454-3726-9797-4084|Unattended Production License|2026-07-31,First Technology Federal Credit Union,8454-3726-9797-4084,Unattended Production License,2026-07-31,13,6,46.15
First Technology Federal Credit Union|5690-7124-7631-8074|Unattended Production License|2024-07-31,First Technology Federal Credit Union,5690-7124-7631-8074,Unattended Production License,2024-07-31,1,0,0
First Technology Federal Credit Union|8454-3726-9797-4084|Unattended Test Robot License|2026-07-31,First Technology Federal Credit Union,8454-3726-9797-4084,Unattended Test Robot License,2026-07-31,2,2,100
First Technology Federal Credit Union|5690-7124-7631-8074|Unattended Test Robot License|2024-07-31,First Technology Federal Credit Union,5690-7124-7631-8074,Unattended Test Robot License,2024-07-31,1,0,0
First Technology Federal Credit Union|5690-7124-7631-8074|User Licenses|2024-07-31,First Technology Federal Credit Union,5690-7124-7631-8074,User Licenses,2024-07-31,50,0,0
First Technology Federal Credit Union|8454-3726-9797-4084|User Licenses|2026-07-31,First Technology Federal Credit Union,8454-3726-9797-4084,User Licenses,2026-07-31,39,9,23.08
First Technology Federal Credit Union|5690-7124-7631-8074|AI Units|2024-07-31,First Technology Federal Credit Union,5690-7124-7631-8074,AI Units,2024-07-31,5000,0,0
First Technology Federal Credit Union|8454-3726-9797-4084|AI Units|2026-08-09,First Technology Federal Credit Union,8454-3726-9797-4084,AI Units,2026-08-09,600000,601.6,0.1
First West Credit Union|0773-8166-1838-3393|Unattended Production License|2026-07-31,First West Credit Union,0773-8166-1838-3393,Unattended Production License,2026-07-31,4,4,100
First West Credit Union|0773-8166-1838-3393|NonProduction Robot License|2026-07-31,First West Credit Union,0773-8166-1838-3393,NonProduction Robot License,2026-07-31,0,1,
First West Credit Union|0773-8166-1838-3393|User Licenses|2026-07-31,First West Credit Union,0773-8166-1838-3393,User Licenses,2026-07-31,115,0,0
First-Citizens Bank & Trust Company|4147-9261-2398-4346|Unattended Production License|2026-07-31,First-Citizens Bank & Trust Company,4147-9261-2398-4346,Unattended Production License,2026-07-31,2,2,100
First-Citizens Bank & Trust Company|4147-9261-2398-4346|Unattended Test Robot License|2026-07-31,First-Citizens Bank & Trust Company,4147-9261-2398-4346,Unattended Test Robot License,2026-07-31,1,1,100
First-Citizens Bank & Trust Company|4496-6388-7875-2697|User Licenses|2026-07-31,First-Citizens Bank & Trust Company,4496-6388-7875-2697,User Licenses,2026-07-31,1,0,0
First-Citizens Bank & Trust Company|4147-9261-2398-4346|User Licenses|2025-04-30,First-Citizens Bank & Trust Company,4147-9261-2398-4346,User Licenses,2025-04-30,103,0,0
FirstOntario Credit Union|8913-1147-0030-4273|Unattended Production License|2026-07-31,FirstOntario Credit Union,8913-1147-0030-4273,Unattended Production License,2026-07-31,4,3,75
FirstOntario Credit Union|8913-1147-0030-4273|Unattended Test Robot License|2026-07-31,FirstOntario Credit Union,8913-1147-0030-4273,Unattended Test Robot License,2026-07-31,2,2,100
FirstOntario Credit Union|8913-1147-0030-4273|User Licenses|2026-07-31,FirstOntario Credit Union,8913-1147-0030-4273,User Licenses,2026-07-31,12,3,25
Fiserv (Global)|8101-5290-0154-3007|Unattended Production License|2026-07-31,Fiserv (Global),8101-5290-0154-3007,Unattended Production License,2026-07-31,800,400,50
Fiserv (Global)|386749070173818353|Unattended Production License|2023-03-31,Fiserv (Global),386749070173818353,Unattended Production License,2023-03-31,225,0,0
Fiserv (Global)|0281-0584-3897-6342|Unattended Production License|2026-07-31,Fiserv (Global),0281-0584-3897-6342,Unattended Production License,2026-07-31,1,0,0
Fiserv (Global)|8101-5290-0154-3007|NonProduction Robot License|2026-07-31,Fiserv (Global),8101-5290-0154-3007,NonProduction Robot License,2026-07-31,0,2,
Fiserv (Global)|8101-5290-0154-3007|Unattended Test Robot License|2026-07-31,Fiserv (Global),8101-5290-0154-3007,Unattended Test Robot License,2026-07-31,69,45,65.22
Fiserv (Global)|0281-0584-3897-6342|Unattended Test Robot License|2026-07-31,Fiserv (Global),0281-0584-3897-6342,Unattended Test Robot License,2026-07-31,1,0,0
Fiserv (Global)|8101-5290-0154-3007|User Licenses|2026-07-31,Fiserv (Global),8101-5290-0154-3007,User Licenses,2026-07-31,3404,443,13.01
Fiserv (Global)|1868-0705-6582-5806|User Licenses|2026-07-31,Fiserv (Global),1868-0705-6582-5806,User Licenses,2026-07-31,4,0,0
Fiserv (Global)|386749070173818353|User Licenses|2023-03-31,Fiserv (Global),386749070173818353,User Licenses,2023-03-31,14,0,0
Fiserv (Global)|9573-5551-2981-4780|User Licenses|2023-04-30,Fiserv (Global),9573-5551-2981-4780,User Licenses,2023-04-30,5,0,0
Fiserv (Global)|8101-5290-0154-3007|AI Units|2026-08-09,Fiserv (Global),8101-5290-0154-3007,AI Units,2026-08-09,4800000,1342474.2,27.97
Fisher Investments|386756878100262563|Unattended Production License|2023-08-31,Fisher Investments,386756878100262563,Unattended Production License,2023-08-31,36,0,0
Fisher Investments|9872-3599-7241-9767|Unattended Production License|2026-07-31,Fisher Investments,9872-3599-7241-9767,Unattended Production License,2026-07-31,25,25,100
Fisher Investments|386757866057085915|NonProduction Robot License|2023-08-31,Fisher Investments,386757866057085915,NonProduction Robot License,2023-08-31,10,0,0
Fisher Investments|9872-3599-7241-9767|Unattended Test Robot License|2026-07-31,Fisher Investments,9872-3599-7241-9767,Unattended Test Robot License,2026-07-31,15,15,100
Fisher Investments|386757866057085915|Unattended Test Robot License|2023-08-31,Fisher Investments,386757866057085915,Unattended Test Robot License,2023-08-31,10,0,0
Fisher Investments|386720614037197412|Unattended Test Robot License|2023-08-31,Fisher Investments,386720614037197412,Unattended Test Robot License,2023-08-31,5,0,0
Fisher Investments|2313-3264-9202-2730|User Licenses|2023-08-31,Fisher Investments,2313-3264-9202-2730,User Licenses,2023-08-31,65,0,0
Fisher Investments|386757866057085915|User Licenses|2023-08-31,Fisher Investments,386757866057085915,User Licenses,2023-08-31,6,0,0
Fisher Investments|386756878100262563|User Licenses|2023-08-31,Fisher Investments,386756878100262563,User Licenses,2023-08-31,65,0,0
Fisher Investments|386720614037197412|User Licenses|2023-08-31,Fisher Investments,386720614037197412,User Licenses,2023-08-31,16,0,0
Fisher Investments|386779973781091197|User Licenses|2023-08-31,Fisher Investments,386779973781091197,User Licenses,2023-08-31,32,0,0
Fisher Investments|9872-3599-7241-9767|User Licenses|2026-07-31,Fisher Investments,9872-3599-7241-9767,User Licenses,2026-07-31,141,37,26.24
Foresters Financial|8582-9604-0685-2793|Unattended Production License|2026-07-31,Foresters Financial,8582-9604-0685-2793,Unattended Production License,2026-07-31,8,8,100
Foresters Financial|386773823191793461|Unattended Production License|2026-07-31,Foresters Financial,386773823191793461,Unattended Production License,2026-07-31,8,0,0
Foresters Financial|386724496861103945|NonProduction Robot License|2026-05-31,Foresters Financial,386724496861103945,NonProduction Robot License,2026-05-31,3,0,0
Foresters Financial|8582-9604-0685-2793|Unattended Test Robot License|2026-07-31,Foresters Financial,8582-9604-0685-2793,Unattended Test Robot License,2026-07-31,6,6,100
Foresters Financial|8582-9604-0685-2793|User Licenses|2026-07-31,Foresters Financial,8582-9604-0685-2793,User Licenses,2026-07-31,32,16,50
Foresters Financial|386724496861103945|User Licenses|2026-05-31,Foresters Financial,386724496861103945,User Licenses,2026-05-31,8,0,0
Fortera Credit Union|6510-6743-5686-3460|Unattended Production License|2026-07-31,Fortera Credit Union,6510-6743-5686-3460,Unattended Production License,2026-07-31,0,2,
Fortera Credit Union|9221-2573-9015-6372|Unattended Production License|2025-11-30,Fortera Credit Union,9221-2573-9015-6372,Unattended Production License,2025-11-30,0,1,
Fortera Credit Union|9221-2573-9015-6372|User Licenses|2025-12-31,Fortera Credit Union,9221-2573-9015-6372,User Licenses,2025-12-31,0,1,
Fortera Credit Union|6510-6743-5686-3460|User Licenses|2026-07-31,Fortera Credit Union,6510-6743-5686-3460,User Licenses,2026-07-31,0,2,
"Franklin Resources, Inc.|4883-4376-2934-2047|Unattended Production License|2026-07-31","Franklin Resources, Inc.",4883-4376-2934-2047,Unattended Production License,2026-07-31,5,5,100
"Franklin Resources, Inc.|4883-4376-2934-2047|Unattended Test Robot License|2026-07-31","Franklin Resources, Inc.",4883-4376-2934-2047,Unattended Test Robot License,2026-07-31,2,2,100
"Franklin Resources, Inc.|4883-4376-2934-2047|User Licenses|2026-07-31","Franklin Resources, Inc.",4883-4376-2934-2047,User Licenses,2026-07-31,112,0,0
Fulton Financial Corporation|5706-9244-7340-9931|Unattended Production License|2026-07-31,Fulton Financial Corporation,5706-9244-7340-9931,Unattended Production License,2026-07-31,8,8,100
Fulton Financial Corporation|5706-9244-7340-9931|Unattended Test Robot License|2026-07-31,Fulton Financial Corporation,5706-9244-7340-9931,Unattended Test Robot License,2026-07-31,5,5,100
Fulton Financial Corporation|5706-9244-7340-9931|User Licenses|2026-07-31,Fulton Financial Corporation,5706-9244-7340-9931,User Licenses,2026-07-31,155,27,17.42
Fulton Financial Corporation|5706-9244-7340-9931|AI Units|2026-07-31,Fulton Financial Corporation,5706-9244-7340-9931,AI Units,2026-07-31,60000,0,0
Fédération des Caisses Desjardins du Québec|0382-5844-6241-5580|Unattended Production License|2025-06-30,Fédération des Caisses Desjardins du Québec,0382-5844-6241-5580,Unattended Production License,2025-06-30,0,5,
